shopify_gid,handle,sku,old_name,new_name,matched_png_fileid,confidence,bucket,top_similarity,chosen_index,candidate_names
,0-cross-stitch-black-embroidered-icon,ICON-45923952034049,0 Cross Stitch Black Embroidered Icon,Cross Stitch C,1mjtg_amUbRbiOQ9ySet7h_ftNoAUqd8E,high,High confidence,0.9531,4,Cross Stitch G | Cross Stitch U | Cross Stitch A | Cross Stitch D | Cross Stitch C | Cross Stitch W | Cross Stitch Q | Cross Stitch O | Cross Stitch V | Cross Stitch B | Cross Stitch M | Cross Stitch P
,f-cheetah-embroidered-icon,ICON-46172403859713,F Cheetah Embroidered Icon,,,low,No match - likely cut,0.9788,-1,Cheetah F | Cheetah R | Cheetah H | Cheetah E | Cheetah B | Cheetah P | Cheetah T | Cheetah G | Cheetah D | Cheetah X | Cheetah L | Pink Plaid R
,f-cross-stitch-black-embroidered-icon,ICON-45923678716161,F Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9498,-1,Cross Stitch K | Cross Stitch Z | Cross Stitch A | Cross Stitch E | Cross Stitch F | Cross Stitch R | Cross Stitch P | Cross Stitch L | Cross Stitch S | Cross Stitch Y | Cross Stitch G | Cross Stitch X
,f-cross-stitch-red-embroidered-icon,ICON-45923621011713,F Cross Stitch Red Embroidered Icon,Cross Stitch F,1Rh6edhFZpNxY90er7JG6dLkqk4cS8117,high,High confidence,0.9484,4,Cross Stitch K | Cross Stitch Z | Cross Stitch A | Cross Stitch E | Cross Stitch F | Cross Stitch R | Cross Stitch P | Cross Stitch L | Cross Stitch S | Cross Stitch G | Cross Stitch Y | Cross Stitch X
,fish-bone-embroidered-icon,ICON-46316057362689,Fish Bone Embroidered Icon,Fish Bone,1wAANv0G6fumiY56X2xUSF0BMZwGaQXAk,high,High confidence,0.9067,0,Fish Bone | Dog Paws | Joint | Claw Clip | Bikini | Soy Sauce | Tic-tac-toe | Bikini Polka Dot | Tokyo Kanji | Rose | Japan Kanji | Charleston SC Palm Tree
,flip-flops-embroidered-icon,ICON-46315800330497,Flip Flops Embroidered Icon,,,low,No match - likely cut,0.8406,-1,Flip Flops | Plane Window | Hot Dog | Broken Heart | Surf Board | Pink Lip Balms | Lip Balms | Brown Sunglasses | Boston Cannoli | Chicago Bean | Red Mushroom | Lipstick
,bichon-frise-embroidered-icon,ICON-46286577500417,Fluffy White Dog Embroidered Icon,Fluffy White Dog,1-z9KC4BOHUcbWis2BVY5ME97hPuPfN_6,high,High confidence,0.8517,0,Fluffy White Dog | Fluffy Brown Dog | Shorthair Shi Tzu | Westie | Blonde Doodle | Poodle | Fluffy Black Dog | Ski Fluffy White Dog | Black Doodle | Yorkie | Ski Brown Doodle | Chow Chow
,v2-football,ICON-45782324347137,Football Embroidered Icon,,,low,No match - likely cut,0.7959,-1,Football | Prozac | Olive | Adderall | Pointed Evil Eye | Broken Heart | Watermelon | Volleyball | Chicago Bean | Xanax | Chicago Hot Dog Print | Bagel
,v2-four-olives-on-toothpick,ICON-45782324838657,Four Olives on Toothpick Embroidered Icon,,,low,No match - likely cut,0.7510,-1,Four Olives on Toothpick | Three Olives on Toothpick | Two Olives on Toothpick | Lemonade | Snowboard | Cross Stitch I | Cross Stitch J | Cross Stitch P | Cross Stitch V | Charleston Iced Tea | Cherries | Cross Stitch R
,frenchie-embroidered-icon,ICON-45851591344385,Frenchie Embroidered Icon,,,low,No match - likely cut,0.8720,-1,Tan Frenchie | Dark Grey Frenchie | White and Grey Frenchie | Tan and Dark Grey Frenchie | Ski White Frenchie | Ski Tan Frenchie | Ski Tan And Grey Frenchie | Ski White And Grey Frenchie | Black Pug | English Bulldog | Chihuahua | White Pit Bull
,v2-fries,ICON-45782325330177,Fries Embroidered Icon,,,low,No match - likely cut,0.8589,-1,Fries | Popcorn | Chicago Skyline | Coffee | Chicago Popcorn | Hot Dog | Broccoli | Purple Hydrangea | Cheetah W | Lighter | Ice Cream | Blue Hydrangea
,g-cheetah-embroidered-icon,ICON-46172405104897,G Cheetah Embroidered Icon,,,low,No match - likely cut,0.9771,-1,Cheetah G | Cheetah P | Cheetah B | Cheetah R | Cheetah D | Cheetah F | Blue Plaid G | Cheetah L | Cheetah C | Cheetah H | Cheetah Q | Blue Plaid Q
,g-cross-stitch-black-embroidered-icon,ICON-45923680747777,G Cross Stitch Black Embroidered Icon,Cross Stitch G,1OpirEAbQLST9bLY_5c_bjf2imsK7uQiV,high,High confidence,0.9400,2,Cross Stitch Z | Cross Stitch A | Cross Stitch G | Cross Stitch E | Cross Stitch R | Cross Stitch K | Cross Stitch S | Cross Stitch V | Cross Stitch P | Cross Stitch B | Cross Stitch L | Cross Stitch Q
,g-cross-stitch-red-embroidered-icon,ICON-45923622322433,G Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9394,-1,Cross Stitch Z | Cross Stitch A | Cross Stitch G | Cross Stitch E | Cross Stitch R | Cross Stitch K | Cross Stitch S | Cross Stitch V | Cross Stitch P | Cross Stitch B | Cross Stitch L | Cross Stitch N
,v2-garlic,ICON-45782325428481,Garlic Embroidered Icon,,,low,No match - likely cut,0.8057,-1,Garlic | Lemon | Nantucket Basket | Watermelon | Peach | Eggplant | Brown Mushroom | Tomato | NY Pizza | Espresso Martini | Christmas Tree | Topo Chico
,german-shepard-embroidered-icon,ICON-45851594391809,German Shepard Embroidered Icon,,,low,No match - likely cut,0.9152,-1,German Shepherd | Husky | Great Dane | Doberman | Boxer | Rottweiler | Cane Corso | Shiba Inu | Belgian Malinois | German Shorthair Pointer | Beagle | Ski Rottweiler
,gingerbread-man-embroidered-icon,ICON-46892776620289,Gingerbread Man Embroidered Icon,,,low,No match - likely cut,0.9540,-1,Gingerbread Man | Sheet Mask | Apple Core | Cheetah P | Texas Outline | Queen of Hearts | Cheetah R | Abbode Bow | Lock & Key | Dog Paws | Claw Clip | Lucky Cat
,golden-doodle-black-embroidered-icon,ICON-45851597996289,Golden Doodle Black Embroidered Icon,,,low,No match - likely cut,0.9279,-1,Black Doodle | Brown Doodle | Blonde Doodle | Ski Black Doodle | Chocolate Lab | Black Lab | Ski Brown Doodle | Black Pug | Yorkie | Golden Retriever | Yellow Lab | Ski Blonde Doodle
,golden-doodle-blonde-embroidered-icon,ICON-45851600355585,Golden Doodle Blonde Embroidered Icon,,,low,No match - likely cut,0.9089,-1,Blonde Doodle | Brown Doodle | Black Doodle | Yellow Lab | Golden Retriever | Ski Brown Doodle | Poodle | Ski Blonde Doodle | Westie | Brussels Griffon | Chocolate Lab | Brown Longhair Dachshund
,golden-doodle-embroidered-icon,ICON-45851601076481,Golden Doodle Embroidered Icon,,,low,No match - likely cut,0.9175,-1,Black Doodle | Brown Doodle | Blonde Doodle | Ski Black Doodle | Chocolate Lab | Ski Brown Doodle | Black Lab | Brown Longhair Dachshund | Yorkie | Yellow Lab | Black Longhair Dachshund | Ski Blonde Doodle
,golden-retriever-embroidered-icon,ICON-45851597144321,Golden Retriever Embroidered Icon,,,low,No match - likely cut,0.9115,-1,Golden Retriever | Yellow Lab | Chocolate Lab | Black Lab | Ski Golden Retriever | English Shepherd | Vizsla | Brown Doodle | Blonde Doodle | Cocker Spaniel | Tan Longhair Dachshund | Brown Longhair Dachshund
,goldendoodle-black-embroidered-icon,ICON-46294743941377,Goldendoodle Black Embroidered Icon,,,low,No match - likely cut,0.9279,-1,Black Doodle | Brown Doodle | Blonde Doodle | Ski Black Doodle | Chocolate Lab | Black Lab | Ski Brown Doodle | Black Pug | Yorkie | Golden Retriever | Yellow Lab | Ski Blonde Doodle
,goldendoodle-blonde-embroidered-icon,ICON-46294744629505,Goldendoodle Blonde Embroidered Icon,,,low,No match - likely cut,0.9089,-1,Blonde Doodle | Brown Doodle | Black Doodle | Yellow Lab | Golden Retriever | Ski Brown Doodle | Poodle | Ski Blonde Doodle | Westie | Brussels Griffon | Chocolate Lab | Brown Longhair Dachshund
,v2-golf-bag,ICON-45782325526785,Golf Bag Embroidered Icon,Golf Bag,1s1nkoBJJRjPeo_WMmPIYIPVpvfyKpNEd,high,High confidence,0.7408,0,Golf Bag | Treble Cleff | Cactus | Lighter | Pink Lighter | Vine Tomatoes | Topo Chico | Sriracha | Snowboard | Bikini | Ski Pass | Lobster
,v2-golf-ball,ICON-45782325625089,Golf Ball Embroidered Icon,,,low,No match - likely cut,0.6217,-1,Bagel | Olive | Donut | Smile Pancakes | Tomato | Sushi Roll | Red Mushroom | Sun | World Cup 26 Soccer Ball | 8 Ball | Watermelon | Strawberry
,v2-golf-cart,ICON-45782325723393,Golf Cart Embroidered Icon,,,low,No match - likely cut,0.9345,-1,Golf Cart | Moped | Convertible | Convertible Beetle | Tree Taxi | Taxi | Christmas Tree Truck | Bronco | LA Vintage Car | Taxi Snowglobe | Martha's Vineyard Stamp | Ski Lift
,v2-golf-club,ICON-45782325985537,Golf Club Embroidered Icon,,,high,No match - likely cut,0.6358,-1,Golf Clubs | Beamed Sixteenth Note | Eighth Note | Treble Cleff | Quarter Note | Olive on Toothpick | Skis | Rose | Pepper | Two Olives on Toothpick | Skier | USA Skis
,v2-golf-clubs,ICON-45782326083841,Golf Clubs Embroidered Icon,,,low,No match - likely cut,0.7682,-1,Golf Clubs | Cross Stitch I | Cross Stitch L | Cross Stitch J | Cross Stitch T | Cross Stitch O | Cross Stitch Q | Cross Stitch U | Cross Stitch C | Cross Stitch D | Skis | Cross Stitch V
,great-dane-dog-200-embroidered-icon,ICON-46286602404097,Great Dane Dog 200 Embroidered Icon,,,low,No match - likely cut,0.9474,-1,Great Dane | Cane Corso | Chihuahua | Belgian Malinois | Vizsla | Doberman | White Pit Bull | Rottweiler | Boxer | Husky | Italian Greyhound | Sphynx Cat
,green-hot-chocolate-embroidered-icon,ICON-46892776718593,Green Hot Chocolate Embroidered Icon,Green Hot Chocolate,10Pepl1lN581oVgGwg0ZcQjtgqGV7FG3q,high,High confidence,0.9476,0,Green Hot Chocolate | Red Hot Chocolate | Virgo | Chicago Popcorn | Capricorn | Cancer | Espresso | Scorpio | Diet Coke | Fries | Purple Hydrangea | Spicy Marg
,h-cheetah-embroidered-icon,ICON-46172405661953,H Cheetah Embroidered Icon,,,low,No match - likely cut,0.9679,-1,Cheetah H | Cheetah F | Cheetah R | Cheetah B | Cheetah P | Cheetah L | Cheetah T | Cheetah G | Cheetah K | Cheetah D | Cheetah N | Cheetah X
,h-cross-stitch-black-embroidered-icon,ICON-45923686449409,H Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9496,-1,Cross Stitch X | Cross Stitch H | Cross Stitch N | Cross Stitch Z | Cross Stitch R | Cross Stitch W | Cross Stitch Y | Cross Stitch E | Cross Stitch A | Cross Stitch M | Cross Stitch G | Cross Stitch K
,h-cross-stitch-red-embroidered-icon,ICON-45923625500929,H Cross Stitch Red Embroidered Icon,Cross Stitch H,1ERDTnb2nHSDoVyUGxAoxAQjOgrrQ3kD-,high,High confidence,0.9496,1,Cross Stitch X | Cross Stitch H | Cross Stitch N | Cross Stitch Z | Cross Stitch R | Cross Stitch W | Cross Stitch Y | Cross Stitch E | Cross Stitch A | Cross Stitch M | Cross Stitch G | Cross Stitch K
,v2-hand-bag-blue,ICON-45782326313217,Hand Bag Blue Embroidered Icon,Navy Suitcase,13xgigHjk9CUuBAy_qyivRaPchoqqNX3L,high,High confidence,0.7345,1,Pink Suitcase | Navy Suitcase | Needlepoint | Boston Tote | Boarding Pass | Nantucket Basket | Ski Pass | Old Fashioned | Coffee | Boston Dunkin | Chicago Flag | MetroCard
,v2-hand-bag,ICON-45782326411521,Hand Bag Pink Embroidered Icon,,,low,No match - likely cut,0.7181,-1,Pink Suitcase | Navy Suitcase | Needlepoint | Boston Tote | Nantucket Basket | Boarding Pass | Ski Pass | Old Fashioned | Boston Dunkin | Coffee | Chicago Popcorn | San Francisco Cable Car
,hanukkah-matches-embroidered-icon,ICON-46892776849665,Hanukkah Matches Embroidered Icon,,,low,No match - likely cut,0.6046,-1,Pink Suitcase | Boarding Pass | Mahjong Tiles | Passport | Navy Suitcase | Heart Dice | Chicago Flag | Ace of Hearts | Yacht Flag F | King of Hearts | Yacht Flag A | Football
,v2-heart-dice-black,ICON-45782327197953,Heart Dice Black Embroidered Icon,Heart Dice,14oy3e1YK4HbCghRVKMgm_nHYBcpu41i9,high,High confidence,0.8462,0,Heart Dice | Dice | Diamond | Envelope | Jack of Hearts | Cards | Ace of Hearts | Popcorn | Queen of Hearts | King of Hearts | Negroni | Coffee
,v2-heart-dice,ICON-45782327361793,Heart Dice Embroidered Icon,Heart Dice,14oy3e1YK4HbCghRVKMgm_nHYBcpu41i9,high,High confidence,0.8666,0,Heart Dice | Dice | Diamond | Cards | Jack of Hearts | Ace of Hearts | Envelope | Popcorn | Negroni | Queen of Hearts | Donut | Matcha
,v2-heart-pizza,ICON-45782327820545,Heart Pizza Embroidered Icon,Heart Pizza,1l4LtyB043UR2dd_eAV9-8cuicWfyj-bl,high,High confidence,0.8538,0,Heart Pizza | Strawberry | Queen of Hearts | Ace of Hearts | Locket Filled Bow | Locket Filled | Italian Greyhound Locket | Doberman Locket | Heart Suit | Brown Doodle Locket | Black Doodle Locket | Heart
,heart-suit-embroidered-icon,ICON-46626340995329,Heart Suit Embroidered Icon,Heart Suit,1wRNNLBFhWUAnH4OtuE3Vnlm12uFxsdEN,high,High confidence,0.9769,0,Heart Suit | Dallas Heart | New York Heart | Heart | LA Heart | Chicago Heart | Austin Heart | Boston Heart | San Diego Heart | San Francisco Heart | Bandana Heart | XOXO Heart Pink
,v2-heirloom-tomato,ICON-45782328115457,Heirloom Tomato Embroidered Icon,,,low,No match - likely cut,0.6841,-1,Tomato | Apple | Vine Tomatoes | Peach | New York Apple | Cherries | Strawberry | Two Olives on Toothpick | Locket Filled Bow | Rose | Hibiscus | Bikini
,hibiscus-embroidered-icon,ICON-46315913052417,Hibiscus Embroidered Icon,,,low,No match - likely cut,0.9058,-1,Hibiscus | Boston Clover | Clover | Charleston Palm Tree | Daisy | Weed | Red Rose | Rose | Vine Tomatoes | Cherry Blossom | Yellow Flower | Banana
,v2-hiking-boot,ICON-45782328213761,Hiking Boot Embroidered Icon,,,low,No match - likely cut,0.6060,-1,Ice Skate | Ski Boot | Ugg Boots | Cowboy Boot | Bikini | Vine Tomatoes | Cowboy Hat | Bikini Polka Dot | Lingerie | Tomato | Locket Filled Bow | Stocking
,holiday-shopping-bag-embroidered-icon,ICON-46892776980737,Holiday Shopping Bag Embroidered Icon,,,low,No match - likely cut,0.9342,-1,Holiday Shopping Bag | Ski Pass | Pink Lighter | Boston Tote | Navy Suitcase | Pink Suitcase | Lighter | Red Rolling Suitcase | King of Hearts | Charleston Suitcase | Red Hot Chocolate | Jack of Hearts
,v2-honey-bear-alt,ICON-45782328443137,Honey Bear ALT Embroidered Icon,Honey Bear,1Cj30NS_jD7_u24bHLW5Hw76vUfoeHE94,high,High confidence,0.8290,0,Honey Bear | Lucky Cat | Statue of Liberty | Latke Bear | Ski Westie | Bernedoodle | Ski Brown Doodle | Ski Blonde Doodle | Ski Cockerspaniel | Ski Bernedoodle | Pomeranian | Hamster
,v2-horseshoe,ICON-45782329098497,Horseshoe Embroidered Icon,Horseshoe,1wgLWYxl9g2YcQ38BrBKn9BJ9wvFH75rD,high,High confidence,0.8942,0,Horseshoe | Cheetah C | Cheetah U | Cheetah O | Bandana U | Cheetah Z | Candy Cane Heart | Cheetah G | Pretzel | Bandana Q | Blue Plaid O | Pink Plaid C
,v2-hot-dog,ICON-45782329295105,Hot Dog Embroidered Icon,Hot Dog,1S2vrb5gE0YqkZJoJrNynlRLjistCtVZ5,high,High confidence,0.8413,0,Hot Dog | New York Hot Dog | Chicago Hot Dog Script | Chicago Hot Dog Print | Chicago Bean | Oyster | Boston Cannoli | Burger | Lips | Claw Clip | Steak | Plane Window
,v2-hot-sauce,ICON-45782329426177,Hot Sauce Embroidered Icon,Hot Sauce,1F-5c3qtKLa9iXIq3i40C6cZX7lrwWisQ,high,High confidence,0.8387,0,Hot Sauce | Nail Polish | Wine Bottle | Champagne Bottle | Lipstick | Aperol Bottle | Topo Chico | Sun Tan Lotion | Lighter | Sriracha | Perfume Bottle | Pink Lighter
,husky-dog-200-embroidered-icon,ICON-46286605091073,Husky Dog 200 Embroidered Icon,,,low,No match - likely cut,0.9590,-1,Husky | Ski Husky | German Shepherd | Doberman | Cane Corso | Great Dane | Shiba Inu | Spotted Pit Bull | Belgian Malinois | Ski Border Collie | Chihuahua | Border Collie
,hydrangea-embroidered-icon,ICON-46315769626881,Hydrangea Embroidered Icon,,,low,No match - likely cut,0.9383,-1,Blue Hydrangea | Pink Hydrangea | Purple Hydrangea | Sushi Roll | Broccoli | Yellow Flower | Pink Flower | Red Rose | Cowgirl Hat | Vine Tomatoes | Rose | Daisy
,hydrangea-purple-embroidered-icon,ICON-46315727028481,Hydrangea Purple Embroidered Icon,,,low,No match - likely cut,0.8998,-1,Purple Hydrangea | Blue Hydrangea | Pink Hydrangea | Sushi Roll | Yellow Flower | Pink Flower | Broccoli | Vine Tomatoes | Red Rose | Boston Clover | Clover | Charleston Palm Tree
,i-cheetah-embroidered-icon,ICON-46172406972673,I Cheetah Embroidered Icon,,,low,No match - likely cut,0.9817,-1,Cheetah I | Cheetah T | Cheetah L | Cheetah Y | Cheetah K | Cheetah P | Cheetah N | Cheetah H | Cheetah F | Cheetah X | Cheetah J | Cheetah R
,i-cross-stitch-black-embroidered-icon,ICON-45923687268609,I Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9463,-1,Cross Stitch T | Cross Stitch I | Cross Stitch Y | Cross Stitch L | Cross Stitch V | Cross Stitch A | Cross Stitch P | Cross Stitch G | Cross Stitch E | Cross Stitch J | Cross Stitch R | Cross Stitch Z
,i-cross-stitch-red-embroidered-icon,ICON-45923636904193,I Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9461,-1,Cross Stitch T | Cross Stitch I | Cross Stitch Y | Cross Stitch L | Cross Stitch A | Cross Stitch V | Cross Stitch P | Cross Stitch G | Cross Stitch E | Cross Stitch J | Cross Stitch R | Cross Stitch Z
,v2-i-heart-ny,ICON-45782329884929,I Heart NY Embroidered Icon,,,high,No match - likely cut,0.8485,-1,I Love DTX | I Love BOS | I Love CHS | I Love ATX | I Love CHI | I Love SF | Tokyo Kanji | Japan Kanji | Lover Locket | Tic-tac-toe | Lover Arrow Heart | I Love LA
,v2-i-heart-ny-shirt,ICON-45782329983233,I Heart NY Shirt Embroidered Icon,,,low,No match - likely cut,0.8195,-1,I heart NY Shirt | USA WC Jersey | Canada WC Jersey | Mexico WC Jersey | Button Down Shirt | Ski Pass | Needlepoint | Blue Plaid T | Blue Plaid R | California Flag | Boston Sign | Boarding Pass
,v2-ice-cream,ICON-45782330081537,Ice Cream Embroidered Icon,,,low,No match - likely cut,0.8537,-1,Ice Cream | Chocolate Ice Cream | Swirl Ice Cream | Coffee | LA Smoothie | Boston Dunkin | Ralph's Iced Coffee | Ralph's Coffee | Takeout | Christmas Tree | Chicago Popcorn | Pink Lighter
,ice-skate-embroidered-icon,ICON-46892777111809,Ice Skate Embroidered Icon,,,low,No match - likely cut,0.9717,-1,Ice Skate | Ski Boot | Cowboy Boot | Ugg Boots | New York Hot Dog | Stocking | Boston Red Sock | Apple Core | San Francisco Sea Lion | Texas Outline | Black Dachshund | Black Shorthair Dachshund
,ice-skater-embroidered-icon,ICON-46892777242881,Ice Skater Embroidered Icon,Ice Skater,1KhLD-Gkh_D3bOYOo-D5LchGVfUDe0yQ1,high,High confidence,0.9505,0,Ice Skater | Latke Bear | Statue of Liberty | Skier | Apple Core | Golf Bag | Charleston SC Palm Tree | Bernedoodle | Lucky Cat | Ski Samoyed | Ski Bernedoodle | Ski Cockerspaniel
,v2-infinity,ICON-45782330179841,Infinity Embroidered Icon,,,low,No match - likely cut,0.7163,-1,Treble Cleff | XOXO | Taurus | Ring | Heart Outline | Capricorn | Locket Filled Bow | Pisces | Cross Stitch M | Cross Stitch C | Pink Sunglasses | Cancer
,v2-infinity-red,ICON-45782330605825,Infinity Red Embroidered Icon,,,high,No match - likely cut,0.7150,-1,Treble Cleff | Taurus | XOXO | Ring | Capricorn | Pisces | Cancer | Heart Outline | Locket Filled Bow | Pink Sunglasses | 8 Ball | Abbode Bow
,italian-greyhound-dog-200-embroidered-icon,ICON-46286607679745,Italian Greyhound Dog 200 Embroidered Icon,,,low,No match - likely cut,0.9475,-1,Italian Greyhound | White Pit Bull | Great Dane | Vizsla | Spotted Pit Bull | Chihuahua | Pit Bull | Golden Retriever | Belgian Malinois | Ski Italian Greyhound | Cane Corso | Yellow Lab
,j-cheetah-embroidered-icon,ICON-46172427026689,J Cheetah Embroidered Icon,,,low,No match - likely cut,0.9678,-1,Cheetah J | Cheetah Q | Cheetah I | Cheetah C | Cheetah L | Bandana J | Cheetah Z | Pink Plaid J | Cheetah P | Cheetah S | Cheetah G | Blue Plaid J
,j-cross-stitch-black-embroidered-icon,ICON-45923691757825,J Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9240,-1,Cross Stitch J | Cross Stitch L | Cross Stitch V | Cross Stitch C | Cross Stitch P | Cross Stitch U | Cross Stitch G | Cross Stitch A | Cross Stitch T | Cross Stitch Z | Cross Stitch Q | Cross Stitch D
,j-cross-stitch-red-embroidered-icon,ICON-45923645751553,J Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9209,-1,Cross Stitch J | Cross Stitch L | Cross Stitch V | Cross Stitch C | Cross Stitch P | Cross Stitch U | Cross Stitch G | Cross Stitch A | Cross Stitch Z | Cross Stitch T | Cross Stitch D | Cross Stitch Q
,v2-jack-of-hearts,ICON-45782330704129,Jack of Hearts Embroidered Icon,,,low,No match - likely cut,0.6069,-1,Needlepoint | Jack of Hearts | Ace of Hearts | Coffee | King of Hearts | Queen of Hearts | Envelope | Popcorn | Cards | Pink Lighter | Chicago Popcorn | Nantucket Basket
,jeep-embroidered-icon,ICON-46315947524353,Jeep Embroidered Icon,,,low,No match - likely cut,0.9109,-1,Bronco | Convertible | Convertible Beetle | Taxi | Christmas Tree Truck | Tree Taxi | Taxi Snowglobe | Moped | LA Vintage Car | Golf Cart | Martha's Vineyard Stamp | Grey Rolling Suitcase
,jelly-donut-embroidered-icon,ICON-46892777373953,Jelly Donut Embroidered Icon,,,high,No match - likely cut,0.6711,-1,Donut | Bagel & Lox | Bagel | Round Evil Eye | Blue Plaid O | Bandana O | Pink Plaid O | Espresso | Japan Flag | Olive | 8 Ball | Volleyball
,v2-joint,ICON-45782331916545,Joint Embroidered Icon,Joint,1XATNsy_QeULL7Ax09AZeJUXU7r6ztUKr,high,High confidence,0.8532,0,Joint | Claw Clip | Lips | Lake Michigan | Fish Bone | Dog Paws | Charleston SC Palm Tree | Rose | Bikini | Reindeer | Red Rose | Texas Outline
,k-cheetah-embroidered-icon,ICON-46172441018625,K Cheetah Embroidered Icon,,,low,No match - likely cut,0.9710,-1,Cheetah K | Cheetah X | Cheetah R | Cheetah N | Cheetah L | Cheetah F | Cheetah H | Cheetah Y | Cheetah A | Cheetah I | Cheetah P | Cheetah T
,k-cross-stitch-black-embroidered-icon,ICON-45923693003009,K Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9514,-1,Cross Stitch X | Cross Stitch K | Cross Stitch Z | Cross Stitch Y | Cross Stitch R | Cross Stitch E | Cross Stitch N | Cross Stitch H | Cross Stitch A | Cross Stitch V | Cross Stitch S | Cross Stitch G
,k-cross-stitch-red-embroidered-icon,ICON-45923650994433,K Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9511,-1,Cross Stitch X | Cross Stitch K | Cross Stitch Z | Cross Stitch R | Cross Stitch Y | Cross Stitch E | Cross Stitch N | Cross Stitch H | Cross Stitch A | Cross Stitch V | Cross Stitch S | Cross Stitch G
,v2-ketchup,ICON-45782332113153,Ketchup Embroidered Icon,,,low,No match - likely cut,0.6480,-1,Topo Chico | Champagne Bottle | Hot Sauce | Wine Bottle | Aperol Bottle | Nail Polish | Sriracha | Lipstick | Sunscreen | Lighter | Strawberry Candy | Surf Board
,v2-king-of-hearts,ICON-45782332309761,King of Hearts Embroidered Icon,,,low,No match - likely cut,0.6032,-1,Needlepoint | Jack of Hearts | Ace of Hearts | Coffee | King of Hearts | Envelope | Popcorn | Queen of Hearts | Chicago Popcorn | Pink Lighter | Japan Flag | Cards
,l-cheetah-embroidered-icon,ICON-46172466249985,L Cheetah Embroidered Icon,,,low,No match - likely cut,0.9553,-1,Cheetah L | Cheetah I | Cheetah T | Cheetah K | Cheetah P | Cheetah J | Cheetah N | Cheetah R | Cheetah Y | Cheetah H | Cheetah Z | Blue Plaid L
,l-cross-stitch-black-embroidered-icon,ICON-45923694248193,L Cross Stitch Black Embroidered Icon,,,low,No match - likely cut,0.9500,-1,Cross Stitch L | Cross Stitch A | Cross Stitch G | Cross Stitch V | Cross Stitch Z | Cross Stitch E | Cross Stitch P | Cross Stitch T | Cross Stitch Y | Cross Stitch U | Cross Stitch R | Cross Stitch J
,l-cross-stitch-red-embroidered-icon,ICON-45923652403457,L Cross Stitch Red Embroidered Icon,,,low,No match - likely cut,0.9498,-1,Cross Stitch L | Cross Stitch A | Cross Stitch G | Cross Stitch V | Cross Stitch Z | Cross Stitch P | Cross Stitch E | Cross Stitch T | Cross Stitch U | Cross Stitch Y | Cross Stitch J | Cross Stitch R
,labrador-retriever-embroidered-icon,ICON-45851603665153,Labrador Retriever Embroidered Icon,Yellow Lab,1pqLVMoIUXYmtDGvV_-goKmuzNFjgzu19,high,High confidence,0.9230,0,Yellow Lab | Chocolate Lab | Golden Retriever | Black Lab | Vizsla | White Pit Bull | Ski Golden Retriever | Blonde Doodle | Great Dane | Belgian Malinois | Cocker Spaniel | Ski Yellow Lab
,v2-lace-heart,ICON-45782332408065,Lace Heart Embroidered Icon,Lace Heart,1gKCUziHb8V5uSNtATxHwCM9A63MkAfJG,high,High confidence,0.8279,0,Lace Heart | Heart | Schnauzer Locket | Boxer Locket | Bandana Heart | Bulldog Locket | Italian Greyhound Locket | Austin Heart | Golden Retriever Locket | Black Doodle Locket | Doberman Locket | Heart Suit
,latke-embroidered-icon,ICON-46892777505025,Latke Embroidered Icon,,,low,No match - likely cut,0.9564,-1,Caviar Latke | Taco | Sushi Roll | Bagel | Lips | Chicago Hot Dog Print | Chicago Hot Dog Script | Donut | Oyster | Bagel & Lox | Football | Cowgirl Hat
,v2-lemon,ICON-45782332506369,Lemon Embroidered Icon,,,low,No match - likely cut,0.8260,-1,Lemon | Peach | Strawberry | Eggplant | Cherries | Strawberry Candy | Tomato | Locket Filled | Garlic | Broken Heart | Locket Filled Bow | Hair Brush
,v2-lemon-slice,ICON-45782332604673,Lemon Slice Embroidered Icon,,,low,No match - likely cut,0.8513,-1,Lime Slice | Lemon Slice | Clover | Plane Window | Sushi Roll | Sun | Pink Flower | Chicago Ferris Wheel | Yellow Flower | Life Preserver | Adderall | Boston Clover
,v2-liberty-2,ICON-45782332702977,Liberty 2 Embroidered Icon,,,low,No match - likely cut,0.7858,-1,Statue of Liberty | Charleston SC Palm Tree | Latke Bear | Christmas Tree | Ice Skater | Ski Tan Pomeranian | Ice Cream | Apple Core | Black and Tan Pomeranian | Swirl Ice Cream | Ski Black and Tan Pomeranian | Ski Samoyed
,v2-liberty1,ICON-45782332801281,Liberty1 Embroidered Icon,,,low,No match - likely cut,0.8287,-1,Statue of Liberty Head | Bandana Star | Rosebud | Summer Sun | Statue of Liberty | Claw Clip | Vine Tomatoes | Bandana Texas | Bikini | Bikini Polka Dot | Charleston Pineapple | Star
